target,imp
CD4,0.3580519399973315
CD16,10.61140158825624
CD56,0.135136001044209
PD1,0.375865053395634
CD31,0.71556055772299
PD.L1,4.654871474225673
EGFR,12.817005885806706
Ki67,0.7293151810684769
CD11c,2.1603719249192497
CD138,2.3306518181092546
CD68,4.536587389287161
CSF.1R,1.62995799831642
CD8,0.17771371752631832
CD3,0.7785449803657705
IDO,0.10463385690036364
CD63,8.673517931521014
CD45RO,3.2114630645458204
p53,0.3594178887091327
HLA.DR,11.402419803642763
CD11b,0.023681766157346792
CD45,10.213490331842427
H3K9ac,17.250713662354205
Pan.Keratin,34.72138009020945
H3K27me3,17.301655753213055
phospho.S6,15.80756230895394
MPO,0.08056193869107607
Keratin6,38.50153367452744
HLA_Class_1,25.939752819331403
