target,imp
CD4,0.7000995607514736
CD16,0.9603539006784737
OX40,0.009279630448047485
CD31,0.0707914906460432
EGFR,0.6721172497036886
Ki67,0.48871914724309834
CD11c,0.4076568404119029
CD138,1.4389794535109928
CD163,1.7427009227475647
CD68,0.38494966244903694
CSF.1R,0.9086285813809105
CD3,0.28955888204374775
IDO,1.063208891054832
Keratin17,1.5571499519446652
CD63,0.239890771547164
CD45RO,4.457575092066202
p53,0.5204599313934962
Beta.catenin,0.6844660536006204
HLA.DR,0.9546969080679046
CD11b,0.12307901813704138
CD45,1.545554863508731
H3K9ac,0.44586723204709733
Pan.Keratin,2.2286887439313476
H3K27me3,0.9186980221949288
phospho.S6,0.31454151826877697
MPO,0.005841222105723076
Keratin6,0.42474554348764754
HLA_Class_1,0.6097675827234097
