target,imp
CD4,85.42683640138543
CD16,0.9344107529305539
OX40,0.35305311384778126
PD1,8.038735018906703
CD31,9.9109074263724
PD.L1,3.8191251215379465
EGFR,0.1537822333841842
Ki67,0.022313106377867056
CD209,4.6648270280413575
CD11c,39.53294186275883
CD138,0.07120649372620463
CD163,0.09577053394581292
CD68,19.50112432224112
CSF.1R,190.6363977312543
CD8,44.36814434668915
CD3,88.87116532311371
IDO,9.020613797999085
Keratin17,12.325425789068893
CD63,12.449594415780892
CD45RO,63.83271537083156
p53,8.29625273838704
Beta.catenin,39.189088013849826
HLA.DR,545.7830456602061
CD11b,173.3224532703287
CD45,223.0088578426161
H3K9ac,155.34307201051618
Pan.Keratin,19.34537986687793
H3K27me3,189.82525426008212
phospho.S6,393.99085066034195
MPO,1.2586864942207645
Keratin6,18.800737231531514
HLA_Class_1,174.39735138474313
