target,imp
FoxP3,0.5369867331859032
Lag3,1.4229091635073456
CD4,10.566875037849421
CD16,9.240667371866186
CD56,2.139580299048961
OX40,0.5278369702419564
PD1,2.516537010817796
CD31,6.592799856611687
PD.L1,4.721326891384552
EGFR,0.6724871572988341
Ki67,6.5378377111287875
CD209,1.027897306294776
CD138,3.0602473852914187
CD163,1.0861517596015173
CD68,7.339109816178909
CSF.1R,12.416380360513209
CD8,5.622032020997566
CD3,6.799525456761128
IDO,11.350184421077731
Keratin17,2.035518137963922
CD63,3.117377445926055
CD45RO,10.1903953348026
CD20,5.237378085930719
p53,0.37702087687558644
Beta.catenin,3.452357910406829
HLA.DR,19.678566242511486
CD11b,5.312012457495124
CD45,11.695863253238421
H3K9ac,4.5462047589444525
Pan.Keratin,1.501944483096532
H3K27me3,6.961696289717217
phospho.S6,5.349579631763374
MPO,1.0119271864488928
Keratin6,3.2443867326897577
HLA_Class_1,9.056669647777408
